|                            Method | MapSize | MapGenAlgo | DistanceCalc | Heuristic |          Mean |         Error |        StdDev |
|           'GoRogue AStar - H,W,T' |      50 | RAND ROOMS |    MANHATTAN |      FAST |     135.82 us |     0.3509 us |     0.3283 us |
|         'GoRogue AStar - H,W,T,D' |      50 | RAND ROOMS |    MANHATTAN |      FAST |     122.78 us |     0.3793 us |     0.3548 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 | RAND ROOMS |    MANHATTAN |      FAST |     103.72 us |     0.0869 us |     0.0726 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 | RAND ROOMS |    MANHATTAN |      FAST |     141.48 us |     0.1387 us |     0.1158 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 | RAND ROOMS |    MANHATTAN |      FAST |     123.82 us |     0.3747 us |     0.3505 us |
|                   'GoRogue AStar' |      50 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |     560.47 us |     0.3487 us |     0.2722 us |
|           'GoRogue AStar - H,W,T' |      50 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |     139.78 us |     0.2142 us |     0.2003 us |
|         'GoRogue AStar - H,W,T,D' |      50 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |     131.13 us |     0.2668 us |     0.2365 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |     106.49 us |     0.0436 us |     0.0364 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |     144.10 us |     0.1542 us |     0.1367 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |     120.71 us |     0.1317 us |     0.1168 us |
|                   'GoRogue AStar' |      50 |  RECTANGLE |    CHEBYSHEV |      FAST |     562.30 us |     1.1087 us |     1.0371 us |
|           'GoRogue AStar - H,W,T' |      50 |  RECTANGLE |    CHEBYSHEV |      FAST |     139.23 us |     0.1410 us |     0.1177 us |
|         'GoRogue AStar - H,W,T,D' |      50 |  RECTANGLE |    CHEBYSHEV |      FAST |     129.62 us |     0.4434 us |     0.4148 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 |  RECTANGLE |    CHEBYSHEV |      FAST |     105.92 us |     0.1226 us |     0.1024 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 |  RECTANGLE |    CHEBYSHEV |      FAST |     141.92 us |     0.1236 us |     0.1032 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 |  RECTANGLE |    CHEBYSHEV |      FAST |     119.51 us |     0.0934 us |     0.0874 us |
|                   'GoRogue AStar' |      50 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |     792.09 us |     0.7508 us |     0.6655 us |
|           'GoRogue AStar - H,W,T' |      50 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |     630.94 us |     0.7619 us |     0.6362 us |
|         'GoRogue AStar - H,W,T,D' |      50 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |     633.43 us |     0.3755 us |     0.3512 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |     607.52 us |     1.1407 us |     0.9525 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |     954.99 us |     0.3651 us |     0.3049 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |     772.59 us |     0.4981 us |     0.4160 us |
|                   'GoRogue AStar' |      50 |  RECTANGLE |    EUCLIDEAN |      FAST |     782.75 us |     0.5556 us |     0.4639 us |
|           'GoRogue AStar - H,W,T' |      50 |  RECTANGLE |    EUCLIDEAN |      FAST |     138.75 us |     0.2370 us |     0.2101 us |
|         'GoRogue AStar - H,W,T,D' |      50 |  RECTANGLE |    EUCLIDEAN |      FAST |     127.04 us |     0.2305 us |     0.2043 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 |  RECTANGLE |    EUCLIDEAN |      FAST |     101.92 us |     0.1029 us |     0.0859 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 |  RECTANGLE |    EUCLIDEAN |      FAST |     135.94 us |     0.2412 us |     0.2256 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 |  RECTANGLE |    EUCLIDEAN |      FAST |     114.90 us |     0.0768 us |     0.0641 us |
|                   'GoRogue AStar' |      50 |  RECTANGLE |    MANHATTAN |   DEFAULT |     311.40 us |     0.4015 us |     0.3559 us |
|           'GoRogue AStar - H,W,T' |      50 |  RECTANGLE |    MANHATTAN |   DEFAULT |     118.98 us |     0.0596 us |     0.0497 us |
