|                            Method | MapSize | MapGenAlgo | DistanceCalc | Heuristic |          Mean |         Error |        StdDev |
|           'GoRogue AStar - H,W,T' |     500 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |  33,926.02 us |   161.3842 us |   150.9589 us |
|         'GoRogue AStar - H,W,T,D' |     500 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |  26,938.07 us |    21.8003 us |    18.2043 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |  25,400.91 us |    57.1760 us |    50.6850 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |  33,850.79 us |   151.0867 us |   141.3266 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |  29,113.70 us |    31.7249 us |    24.7687 us |
|                   'GoRogue AStar' |     500 | RAND ROOMS |    CHEBYSHEV |      FAST |  40,529.69 us |   127.7858 us |   113.2788 us |
|           'GoRogue AStar - H,W,T' |     500 | RAND ROOMS |    CHEBYSHEV |      FAST |   9,231.58 us |    20.1762 us |    15.7522 us |
|         'GoRogue AStar - H,W,T,D' |     500 | RAND ROOMS |    CHEBYSHEV |      FAST |   3,631.51 us |    22.3345 us |    19.7990 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 | RAND ROOMS |    CHEBYSHEV |      FAST |   1,894.46 us |     8.7731 us |     8.2064 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 | RAND ROOMS |    CHEBYSHEV |      FAST |   1,932.66 us |     3.6022 us |     2.8123 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 | RAND ROOMS |    CHEBYSHEV |      FAST |   1,706.71 us |     4.4575 us |     4.1695 us |
|                   'GoRogue AStar' |     500 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |  40,046.15 us |   166.1045 us |   155.3742 us |
|           'GoRogue AStar - H,W,T' |     500 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |  32,991.19 us |   343.3467 us |   321.1667 us |
|         'GoRogue AStar - H,W,T,D' |     500 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |  26,208.97 us |    16.5510 us |    14.6721 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |  24,320.40 us |    78.0976 us |    69.2315 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |  32,642.25 us |   101.3483 us |    94.8013 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |  28,508.98 us |    31.0075 us |    29.0045 us |
|                   'GoRogue AStar' |     500 | RAND ROOMS |    EUCLIDEAN |      FAST |  40,043.65 us |    99.6308 us |    93.1947 us |
|           'GoRogue AStar - H,W,T' |     500 | RAND ROOMS |    EUCLIDEAN |      FAST |   9,396.28 us |    55.0858 us |    51.5273 us |
|         'GoRogue AStar - H,W,T,D' |     500 | RAND ROOMS |    EUCLIDEAN |      FAST |   3,572.12 us |     3.2529 us |     2.7163 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 | RAND ROOMS |    EUCLIDEAN |      FAST |   1,873.52 us |     3.0367 us |     2.3708 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 | RAND ROOMS |    EUCLIDEAN |      FAST |   1,898.36 us |     1.1696 us |     1.0941 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 | RAND ROOMS |    EUCLIDEAN |      FAST |   1,667.61 us |     3.0422 us |     2.5404 us |
|                   'GoRogue AStar' |     500 | RAND ROOMS |    MANHATTAN |   DEFAULT |  13,035.33 us |    41.4727 us |    38.7936 us |
|           'GoRogue AStar - H,W,T' |     500 | RAND ROOMS |    MANHATTAN |   DEFAULT |   9,692.80 us |    21.1939 us |    18.7879 us |
|         'GoRogue AStar - H,W,T,D' |     500 | RAND ROOMS |    MANHATTAN |   DEFAULT |   3,922.77 us |     2.5267 us |     2.2399 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 | RAND ROOMS |    MANHATTAN |   DEFAULT |   2,207.86 us |     1.6220 us |     1.2663 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 | RAND ROOMS |    MANHATTAN |   DEFAULT |   2,566.94 us |     9.5917 us |     8.9720 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 | RAND ROOMS |    MANHATTAN |   DEFAULT |   2,197.68 us |    11.0850 us |    10.3689 us |
|                   'GoRogue AStar' |     500 | RAND ROOMS |    MANHATTAN |      FAST |  12,746.11 us |    35.5432 us |    33.2471 us |
|           'GoRogue AStar - H,W,T' |     500 | RAND ROOMS |    MANHATTAN |      FAST |   9,707.62 us |   121.3933 us |   107.6120 us |
|         'GoRogue AStar - H,W,T,D' |     500 | RAND ROOMS |    MANHATTAN |      FAST |   3,946.02 us |    20.3721 us |    19.0561 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 | RAND ROOMS |    MANHATTAN |      FAST |   2,209.94 us |     2.6202 us |     2.0457 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 | RAND ROOMS |    MANHATTAN |      FAST |   2,562.33 us |     2.2928 us |     1.9146 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 | RAND ROOMS |    MANHATTAN |      FAST |   2,194.05 us |    13.9562 us |    13.0546 us |
|                   'GoRogue AStar' |     500 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |  19,045.95 us |    59.7082 us |    55.8510 us |
|           'GoRogue AStar - H,W,T' |     500 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |  10,323.89 us |    41.8700 us |    39.1652 us |
|         'GoRogue AStar - H,W,T,D' |     500 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |   4,821.19 us |     3.2429 us |     2.5319 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |   2,963.91 us |     7.7531 us |     7.2523 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |   3,828.25 us |     6.1282 us |     5.1173 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 |  RECTANGLE |    CHEBYSHEV |   DEFAULT |   3,176.39 us |     7.1091 us |     6.6499 us |
|                   'GoRogue AStar' |     500 |  RECTANGLE |    CHEBYSHEV |      FAST |  18,992.34 us |    45.0680 us |    42.1566 us |
|           'GoRogue AStar - H,W,T' |     500 |  RECTANGLE |    CHEBYSHEV |      FAST |   8,941.85 us |    64.1830 us |    60.0368 us |
|         'GoRogue AStar - H,W,T,D' |     500 |  RECTANGLE |    CHEBYSHEV |      FAST |   3,291.46 us |    21.0114 us |    17.5455 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 |  RECTANGLE |    CHEBYSHEV |      FAST |   1,484.32 us |     0.9688 us |     0.7563 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 |  RECTANGLE |    CHEBYSHEV |      FAST |   1,547.26 us |     2.2037 us |     2.0613 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 |  RECTANGLE |    CHEBYSHEV |      FAST |   1,256.38 us |     4.5148 us |     4.0022 us |
|                   'GoRogue AStar' |     500 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |  92,966.28 us |   449.9000 us |   420.8367 us |
|           'GoRogue AStar - H,W,T' |     500 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |  79,456.10 us |   123.2174 us |   109.2291 us |
|         'GoRogue AStar - H,W,T,D' |     500 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |  75,751.26 us |   289.1581 us |   270.4787 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |  72,162.79 us |   121.0336 us |   107.2931 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 |  RECTANGLE |    EUCLIDEAN |   DEFAULT | 121,617.60 us |   688.7626 us |   644.2689 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 |  RECTANGLE |    EUCLIDEAN |   DEFAULT |  89,406.76 us | 1,075.9756 us | 1,006.4683 us |
|                   'GoRogue AStar' |     500 |  RECTANGLE |    EUCLIDEAN |      FAST |  94,083.74 us |   628.6324 us |   588.0232 us |
|           'GoRogue AStar - H,W,T' |     500 |  RECTANGLE |    EUCLIDEAN |      FAST |   8,728.28 us |    56.8575 us |    47.4786 us |
|         'GoRogue AStar - H,W,T,D' |     500 |  RECTANGLE |    EUCLIDEAN |      FAST |   3,235.33 us |     4.7201 us |     4.4152 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 |  RECTANGLE |    EUCLIDEAN |      FAST |   1,470.40 us |     4.5528 us |     4.2587 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 |  RECTANGLE |    EUCLIDEAN |      FAST |   1,491.82 us |     1.4772 us |     1.3817 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 |  RECTANGLE |    EUCLIDEAN |      FAST |   1,209.29 us |     2.9002 us |     2.7129 us |
|                   'GoRogue AStar' |     500 |  RECTANGLE |    MANHATTAN |   DEFAULT |  33,894.75 us |    79.6401 us |    70.5989 us |
|           'GoRogue AStar - H,W,T' |     500 |  RECTANGLE |    MANHATTAN |   DEFAULT |   9,842.25 us |    58.4986 us |    51.8575 us |
|         'GoRogue AStar - H,W,T,D' |     500 |  RECTANGLE |    MANHATTAN |   DEFAULT |   4,418.01 us |     8.2750 us |     7.3356 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 |  RECTANGLE |    MANHATTAN |   DEFAULT |   2,513.11 us |     7.4109 us |     6.9321 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 |  RECTANGLE |    MANHATTAN |   DEFAULT |   3,076.29 us |     8.2394 us |     7.7071 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 |  RECTANGLE |    MANHATTAN |   DEFAULT |   2,560.55 us |    16.3806 us |    15.3224 us |
|                   'GoRogue AStar' |     500 |  RECTANGLE |    MANHATTAN |      FAST |  34,124.36 us |   174.0838 us |   162.8381 us |
|           'GoRogue AStar - H,W,T' |     500 |  RECTANGLE |    MANHATTAN |      FAST |   9,969.93 us |    41.9957 us |    39.2828 us |
|         'GoRogue AStar - H,W,T,D' |     500 |  RECTANGLE |    MANHATTAN |      FAST |   4,417.69 us |     9.5682 us |     8.4819 us |
|   'GoRogue AStar - H,W,T,D,Array' |     500 |  RECTANGLE |    MANHATTAN |      FAST |   2,508.10 us |    10.1844 us |     9.5265 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     500 |  RECTANGLE |    MANHATTAN |      FAST |   3,070.49 us |     4.6035 us |     4.3061 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     500 |  RECTANGLE |    MANHATTAN |      FAST |   2,557.83 us |    10.5235 us |     9.8437 us |
